id;subject;questionType;question;completed;answers/0;answers/1;answers/2;answers/3;answers/4;answers/5;answers/6;answers/7;answers/8;answers/9;;correct/0;correct/1;correct/2;correct/3;correct/4;correct/5;correct/6;correct/7;correct/8;correct/9;;title/0;title/1;title/2;title/3;title/4;title/5;title/6;title/7;title/8;title/9;;;;
1001;UX;SC;Wer gilt als Vater des Begriffs User Experience (UX)?;false;Steve Jobs;Donald Norman;Charles Babbage;Steve Wozniak;;;;;;;;0;1;0;0;;;;;;;;;;;;;;;;;;;;;
1002;UX;MC;Welche der folgenden Methoden werden zur Verbesserung der User Experience genutzt?;false;Usability Testing;Eye-Tracking;Storyboarding;Tagebuchstudien;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
1003;UX;DD;Entscheide welche Methoden der Nutzerbedarfsanalyse qualitativ und welche quantitativ sind.;false; Erwartungen;Ermittlung numerischer Werte;Einstellungen;Verhaltensweisen;objektive Befunde: »zählen«;subjektive Befunde: »befragen«;;;;;;2;1;2;2;1;1;;;;;;Quantitative Methoden;Qualitative Methoden ;;;;;;;;;;;;
1004;UX;MC;Welche Aussage ist ein Teil von Usability Testing?;false;Die Überprüfung von Systemkompatibilitäten.;Die Beobachtung der ersten Interaktion von Usern mit neuer Software.,;Die Durchführung von Performance Tests.;Das Auswerten von Tagebuchstudien.;;;;;;;;0;1;0;0;;;;;;;;;;;;;;;;;;;;;
1005;UX;SC;Wozu wurde Usability Testing entwickelt?;false;Um eine intuitive Steuerung von Software zu ermöglichen.;Um zu testen, ob Software funktioniert.;Um die Laufzeit von Software zu optimieren. ;;;;;;;;;1;0;0;;;;;;;;;;;;;;;;;;;;;;
1006;UX;SC;Was versteht man unter dem Begriff Storyboarding?;false;Das Erzählen einer Geschichte über das Nutzerverhalten.,;Die sequentielle Aneinanderreihung von Bildern um Abläufe und Abhängigkeiten im Voraus abzubilden.,;Die Sammlung von Geschichten über Anwendungsmöglichkeiten, welche auf einem Board dargestellt werden. ;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;
1007;UX;MC;Welche Vorteile bietet Sketching?;false;Es bietet die Möglichkeit, schnell Konzepte zu erstellen.;Entwickelte Konzepte sind sofort in digitaler Form verfügbar.;Visualisierte Problemstellungen sind besser zu verstehen.;Ergänzungen zu Protokollen von Meetings. ;;;;;;;;1;0;1;1;;;;;;;;;;;;;;;;;;;;;
1008;UX;OD;Ordne die folgenden Schritte des Design Thinking Process aufsteigend nach ihrer Reihenfolge.;false;Empathize (Verstehen);Prototype (Bauen) ;Test (Testen) ;Define (Definieren);Ideate;;;;;;;1;4;5;2;3;;;;;;;;;;;;;;;;;;;;
1009;UX;DD;Entscheide welche Methoden zu welchem Design Thinking Schritt gehören.;false;Idea Sharing;Mockups;Storyboards;Shadowing;Interviews;»Yes and«-Thinking;;;;;;3;1;1;2;2;3;;;;;;Prototype;Empathize;Ideate;;;;;;;;;;;
1010;UX;MC;In welche Kategorien kann man die Methoden der UX-Evaluation einteilen?;false;Implizite Methoden ;Reale Methoden;Visuelle Methoden;Substantielle Methoden;Virtuelle Methoden;Explizite Methoden;Objektive Methoden;Subjektive Methoden;;;;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
1011;UX;DD;Ordne die folgenden Methoden ihrer jeweiligen Kategorie zu.;false;Tagebuchstudien ;Usability Testing;Eye-Tracking;Elektroenzephalografie;Mitarbeiterbefragungen;;;;;;;2;2;1;1;2;;;;;;;Implizite Methoden;Explizite Methoden;;;;;;;;;;;;
1012;UX;SC;Wie verläuft die Blickrichtung von Usern auf Websites typischerweise?;false;Von oben nach unten;Es gibt keine typische Richtung;In F-Form;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;
1013;UX;SC;Wo sollte das Suchfeld in einem Online Shop platziert sein?;false;oben mittig;oben rechts;unten links;;;;;;;;;1;0;0;;;;;;;;;;;;;;;;;;;;;;
1014;UX;SC;Wo sollte sich das Logo befinden?;false;oben links ;oben mittig;oben rechts ;an mehreren Stellen;;;;;;;;1;0;0;0;;;;;;;;;;;;;;;;;;;;;
1015;UX;TL;Ordne den deutschen Fachbegriffen ihre englischen Übersetzungen zu.;false;Usability Test ;Consumer Insight;Attention Tracking;User Journey;Wireframe;User-Centered Design;Accessibility;Diary Study;Thinking Aloud;On-site Questionnaire ;;10;3;1;7;5;6;9;8;2;4;;Aufmerksamkeitsmessung;Lautes Denken;Nutzerwissen;Mitarbeiterbefragung;Drahtmodell;Nutzerorientierte Gestaltung;Endverbraucherreise;Tagebuchstudie;Barrierefreiheit;Benutzerfreundlichkeitstest;;;;
1016;WI;DD;Welche Aussagen treffen auf Normen zu, welche auf Standards? Ordne zu.;false;Richtlinien;In der Regel von Anwendergruppen oder Herstellern erarbeitet.;Werden empfohlen, sollten eingehalten werden.;Verbindlich ;;;;;;;;1;2;2;1;;;;;;;;Normen;Standards;;;;;;;;;;;;
1017;WI;SC;Was bedeutet die Abkürzung GL im Bezug auf Programmiersprachen?;false;Generation language;General language;Good language;;;;;;;;;1;0;0;;;;;;;;;;;;;;;;;;;;;;
1018;WI;DD;Ordne die Programmiersprachen jeweils der passenden Generation zu.;false;Maschinensprachen;Höhere Programmiersprachen;Nichtprozedurale Programmiersprachen;KI-Sprachen;Assemblersprachen;;;;;;;1;3;4;5;2;;;;;;;First GL;Second GL;Third GL;Fourth GL;Fifth GL;;;;;;;;;
1019;WI;MC;Markiere die wahren Aussagen.;false;Bei der First GL erfolgt die 1:1 Übersetzung durch den Assembler.;Bei der Third GL erfolgt die 1:1 Übersetzung durch den Compiler.;Bei der Third GL erfolgt die 1:N Übersetzung durch den Compiler/Interpreter.;Die Programmiersprachen LISP und Prolog gehören zu den KI-Sprachen.;HTML ist eine Programmiersprache.;;;;;;;1;0;1;1;0;;;;;;;;;;;;;;;;;;;;
1020;WI;MC;Welche Arten der Programmierung gibt es nach dem Programmierparadigma?;false;strukturierte Programmierung;objektorientiere Programmierung;funktionale Programmierung;logische Programmierung;klassenbasierte Programmierung;unstrukturierte Programmierung;;;;;;1;1;1;1;0;0;;;;;;;;;;;;;;;;;;;
1021;WI;DD;Ordne die Aussagen den Arten der Programmierung zu.;false;Konzepte für Unterroutinen;Nur Funktionen als Anweisungen;Beschreibung von Aussagen;Vererbung und Polymorphie;;;;;;;;1;3;4;2;;;;;;;;Strukturierte Programmierung;Objektorientierte Programmierung;Funktionale Programmierung;Logische Programmierung;;;;;;;;;;
1022;WI;MC;Markiere die wahren Aussagen.;false;Die Programmiersprachen Prolog und CLP gehören zur logischen Programmierung.;Die Programmiersprache LISP gehört zur strukturierten Programmierung.;Die objektorientierte Programmierung beschäftigt sich mit Objekten und Klassen, sowie mit der Datenkapselung.;Unter einem Programmierparadigma versteht man die Sichtweise und den Umgang mit den zu verarbeitenden Daten und Operationen.;;;;;;;;1;0;1;1;;;;;;;;;;;;;;;;;;;;;
1023;WI;DD;Ordne die Vorteile dem Interpreter oder dem Compiler zu.;false;Benötigt weniger Speicherplatz;Einzelne Anweisungen sofort testen;Globale Fehlersuche;Teilergebnisse sind sichtbar;Unterstützung durch Entwicklungsumgebung;Einfache Fehlersuche;;;;;;1;2;1;2;1;2;;;;;;Compiler;Interpreter;;;;;;;;;;;;
1024;WI;DD;Ordne die Nachteile dem Interpreter bzw. dem Compiler zu.;false;Mehrstufig;Lokale Fehlersuche;Langsamer;Kein ausführbares Zielprogramm in Maschinensprache;Bei jedem Übersetzungsvorgang muss das gesamte Programm übersetzt werden.;Fehlersuche aufwändiger;;;;;;1;2;2;2;1;1;;;;;;Compiler;Interpreter;;;;;;;;;;;;
1025;WI;DD;Ordne die Begriffe den verschiedenen Datenformen zu.;false;Personalnummer;Name;Einzahlungen;Lagerbestände;Abbuchungen;Kontobestände;;;;;;1;1;3;2;3;2;;;;;;Stammdaten;Bestandsdaten;Bewegungsdaten;;;;;;;;;;;
1026;WI;MC;Sind die folgenden Aussagen wahr? Wenn ja, markiere sie.;false;OLTP ist eine Abkürzung für Online Transaction Processing.;Auskunfts- und Reservierungssysteme sowie Kontoabfragen sind Beispiele für OLTP.;Bei OLTP werden die Daten nicht direkt nach der Eingabe aktualisiert und stehen auch nicht allen betroffenen Abteilungen zur gleichen Zeit zur Verfügung.;OLTP verfolgt den Ansatz der Echtzeitbuchung, d. h. es können mehrere Nutzer gleichzeitig im Dialogbetrieb auf dem gleichen Datenbestand arbeiten.;Ein ERP-System besteht aus 3 Systemlandschaften: Entwicklungssystem, Testsystem, Produktivsystem.;;;;;;;1;1;0;1;1;;;;;;;;;;;;;;;;;;;;
1027;WI;MC;Aus welchen funktionsbezogenen Modulen besteht ein ERP System?;false;Externes Rechnungswesen;IT- Dienstleistungen;Personal;Vertrieb;Beschaffung;Controlling;;;;;;1;0;0;1;1;1;;;;;;;;;;;;;;;;;;;
1028;WI;DD;Ordne die Vorteile der Individualsoftware oder der Standardsoftware zu.;false;Maßgeschneiderte Lösung;Keine Anpassung der Organisation erforderlich;Geringer Anschaffungspreis;Hohe Funktionalität;Wettbewerbsvorteile;Unabhängigkeit von Softwarelieferanten;Know-how Transfer durch den Hersteller;Branchenneutralität und Individualität durch Customizing;;;;1;1;2;2;1;1;2;2;;;;Individualsoftware;Standardsoftware;;;;;;;;;;;;
1029;WI;MC;Sind die folgenden Aussagen wahr?;false;Um eine Software einzuführen gibt es zwei Strategien: die Big Bang Strategie und die Rollout Strategie.;Die Big Bang Strategie beschreibt die vollständige Ablösung des Altsystems zum Stichtag.;;Unter einem Big Bang versteht man die schrittweise, prozessorientiere Einführung einer Software.;Die Rollout Strategie beschreibt die sukzessive Ablösung durch die Umstellung einzelner vollständiger Prozessketten.;;;;;;;1;1;0;1;;;;;;;;;;;;;;;;;;;;;
1030;WI;TL;Ordne den Begriffen jeweils ihre passende Übersetzung zu.;false;Business Process;Binding;Business Informatics;Norms;Source Code;Operarional Information Systems;Object-oriented Programming;Requirement Analysis;Master Data;Programming Language;;4;2;5;8;6;10;7;9;3;1;;Programmiersprache;Verbindlich;Stammdaten;Geschäftsprozess;Wirtschaftsinformatik;Quellcode;Objektorientierte Programmierung;Normen;Anforderungsanalyse;Betriebliche Informationssysteme;;;;
1031;GPM;MC;Wähle die Anforderungen an Unternehmen, die heutzutage entscheidend sind.;false;Schnelligkeit;Gute Dokumentation;Hohe Preise;Nutzung der Plankostenrechnung;Flexibilität;Produktorientierung;;;;;;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;
1032;GPM;SC;Der Schwerpunkt von Geschäftsprozessmanagement liegt in der technischen Umsetzung. Die Analyse und Optimierung dieser sind nicht von großer Bedeutung.;false;Wahr;Falsch;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;
1033;GPM;DD;Ebenen der Prozessbetrachtung und deren Fokus. Ordne die Ebenen den verschiedenen Fokuspunkten zu. ;false;Modellierung;Analyse;Darstellung;Technische Umsetzung;Optimierung;;;;;;;2;2;1;3;2;;;;;;;Fokus: Dokumentation ;Fokus: Gestaltung;Fokus: Implementierung;;;;;;;;;;;
1034;GPM;MC;Wie ist ein Prozess definiert?;false;Ein Rahmenkonzept zur Gestaltung der betrieblichen Abläufe.;Ein Vergleich von Mitarbeitern.;Eine Abfolge von Transaktionen;Eine Abfolge von Aktivitäten und Zuständen;;;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
1035;GPM;SC;Im Geschäftsprozessmanagement gilt der Grundsatz: »Strategie vor Methodik vor Werkzeug«.;false;Wahr;Falsch;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;
1036;GPM;SC;Geschäftsprozessmanagement beinhaltet Ansätze wie Business Process Reengineering oder Continuous Improvement.;false;Wahr;Falsch;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;
1037;GPM;SC;Analyse eines Geschäftsprozesses. Ist eine Prozesskostenanalyse eine Methode oder eine Kenngröße?;false;Methode;Kenngröße;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;
1038;GPM;SC;Ein Workflow kann als Abfolge von Transaktionen zwischen Objekten angesehen werden.;false;Wahr;Falsch;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;
1039;GPM;DD;Analyse der Geschäftsprozesse - handelt es sich um eine Methode oder eine Kenngröße? Ziehe alle Elemente in das richtige Feld.;false;Ergebnisqualität;Prozessqualität;Prozessbenchmarking;Prozesskosten;Prozesskostenanalyse;Prozesszeitanalyse;Transportzeiten;;;;;2;2;1;2;1;1;2;;;;;Methoden;Kenngrößen;;;;;;;;;;;;
1040;GPM;TQ;Geschäftsprozesse und Dokumente. Ziehe das richtige Wort in die Lücke.;false;Ein;;ist eine Einheit von Informationen, die in einem DV-System als Datei oder als Bestandteil einer Datei vorliegt. Ein; ;ist eine zielgerichtete, zeitlich-logische Abfolge von Aufgaben, die arbeitsteilig von mehreren Organisationen oder Organisationseinheiten unter Nutzung von  Informations- und Kommunikationstechnologien ausgeführt werden können.;;;;;;;2;1;;;;;;;;;;Geschäftsprozess;Dokument;;;;;;;;;;;;
1041;GPM;SC;Wie ist Compliance definiert? ;false;Eine Einheit von Informationen;Der Vergleich von Geschäftsprozessen;Die Einhaltung von Richtlinien und Gesetzen in einem Unternehmen;Die Systematische Aufzeichnung von Geschäftsvorfällen;;;;;;;;0;0;1;0;;;;;;;;;;;;;;;;;;;;;
1042;GPM;SC;Welches ist das Standardverfahren für (grundlegende) Rechere in DMS?;false;Direct Retrieval;Indirect Retrieval;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;
1043;GPM;MC;Wähle die Zielstellungen des Workflow-Managements.;false;Versionierung;Kontrolle;Qualitätssicherung;Höhere Produktivität;;;;;;;;0;0;1;1;;;;;;;;;;;;;;;;;;;;;
1044;GPM;SC;Wie kann man die Erfassung von Papierdokumenten nach dem Arbeitsablauf unterscheiden? ;false;Hochladen und herunterladen.;Frühes und spätes Scannen;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;
1045;GPM;TL;Ordne den Begriffen jeweils ihre passende Übersetzung zu.;false;Storage Location;Business Process;Research;Key Figures;Process Reengineering;Automatic Processing;Workflow;Transactions;Optimization;Quality Assurance;;4;1;2;3;10;9;8;6;7;5;;Geschäftsprozess;Recherche;Kennzahlen;Ablageort;Qualitätssicherung;Transaktionen;Optimierung;Arbeitsablauf;Automatische Verarbeitung;Prozesserneuerung;;;;
1046;Wahrnehmungspsychologie;MC;Welche der folgenden Begriffe stellen Teilschritte der Wahrnehmung dar?;false;Interpretation;Anwendung;Auswahl;Aufnahme;Verarbeitung;Reflexion;;;;;;1;0;1;1;1;0;;;;;;;;;;;;;;;;;;;
1047;Wahrnehmungspsychologie;SC;Was sagt das »Gesetz der Nähe« aus?;false;e näher man am betrachteten Objekt steht, desto besser kann man die Proportionen abschätzen.;Nah aneinander liegende Objekte werden automatisch von unserem Gehirn gruppiert.;Nah aneinander liegende Objekte wirken größer.;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;
1048;Wahrnehmungspsychologie;SC;Über wie viele Arten von Mechanorezeptoren verfügt die Haut?;false;1;3;4;7;;;;;;;;0;0;1;0;;;;;;;;;;;;;;;;;;;;;
1049;Wahrnehmungspsychologie;SC;Welche der folgenden Aussagen beschreibt die Konsenstheorie am besten?;false;Eine Aussage ist wahr, wenn sie für die Praxis verständlich und nützlich ist.;Es kann nicht sicher festgestellt werden, ob eine Aussage wahr ist, aber sehr wohl, dass eine bestimmte Aussage falsch ist, nämlich wenn ein Experiment sie widerlegt.;Eine Aussage ist wahr, wenn eine möglicherweise unendlich große Menge von Menschen unter idealen Kommunikationsbedingungen dieser Aussage zustimmen würde.;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;
1050;Wahrnehmungspsychologie;SC;Welche Zellen sind für die Reizübertragung im Körper verantwortlich?;false;Andrenerge Nervenzellen;Neuronen;Hensen-Zellen;Astrozyten;;;;;;;;0;1;0;0;;;;;;;;;;;;;;;;;;;;;
1051;Wahrnehmungspsychologie;MC;Welche der folgenden Aussagen über Rezeptorzellen sind richtig?;false;Rezeptorzellen sind Signalwandler.;Rezeptorzellen sind Codierer.;Rezeptorzellen sind Interpreten.;Rezeptorzellen sind Verstärker.;Rezeptorzellen sind Boten.;;;;;;;1;1;0;1;0;;;;;;;;;;;;;;;;;;;;
1052;Wahrnehmungspsychologie;SC;Was besagt das Weber-Fechnersche Gesetz?;false;Die subjektiv empfundene Stärke von Sinneseindrücken ist proportional zum Logarithmus der objektiven Intensität des physikalischen Reizes.;Die subjektiv empfundene Stärke von Sinneseindrücken verhält sich proportional zum Alter der Testpersonen.;Es gibt keine Möglichkeit die subjektiv empfundene Stärke von Sinneseindrücken einzuordnen.;;;;;;;;;1;0;0;;;;;;;;;;;;;;;;;;;;;;
1053;Wahrnehmungspsychologie;SC;Was besagt die »Motorische Theorie der Sprachwahrnehmung«?;false;Die Sprachwahrnehmung hängt mit der Gestik zusammen.;Die Sprachwahrnehmung wird durch Motorik eingeschränkt.;Es gibt enge Verbindungen zwischen den Modulen zur Erzeugung und Wahrnehmung von Sprache.;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;
1054;Wahrnehmungspsychologie;DD;Ordne die folgenden Funktionen in virtuellen Welten den Kategorien zu.;false;Rendering;Duftstoffe;Stereo-Graphik;Tastempfinden;Hall-Effekte;Beschleunigungen;Kraftrückkopplung;Stereo-Klang;;;;1;4;1;3;2;3;3;2;;;;Visuell;Akustisch;Haptisch;Olfaktorisch;;;;;;;;;;
1055;Wahrnehmungspsychologie;OD;Ordne die folgenden Sinne absteigend nach ihrem Einfluss.;false;Schmecken;Riechen;Sehen;Hören;Tasten;;;;;;;4;3;1;2;5;;;;;;;;;;;;;;;;;;;;
1056;Wahrnehmungspsychologie;SC;Welcher ist der älteste Sinn des Menschen?;false;Geschmackssinn;Geruchssinn;Sehsinn;Hörsinn;Tastsinn;;;;;;;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;
1057;Wahrnehmungspsychologie;SC;Was demonstriert der sogenannte McGurk-Effekt?;false;Die Beeinflussung der Wahrnehmung von Sprachsignalen durch unbewusstes Lippenlesen.;Die Beeinflussung der Wahrnehmung von Sprachsignalen durch die Umgebung.;Die Beeinflussung der Wahrnehmung von Gesten durch die Lautstärke der parallel gehörten Sprachsignale.;Keines der drei oberen.;;;;;;;;1;0;0;0;;;;;;;;;;;;;;;;;;;;;
1058;Wahrnehmungspsychologie;MC;Welche der folgenden Sinne sind von der »Kontextabhängigkeit der Wahrnehmung« betroffen?;false;Sehsinn;Hörsinn;Geschmackssinn;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1059;Wahrnehmungspsychologie;OD;Ordne die einzelnen Glieder der Kette des Wahrnehmungsprozesses absteigend nach ihrer Reihenfolge.;false;Gehirn;Reaktion;Nervensystem;Sinnesorgane;Empfindung;Bewertung;;;;;;3;6;2;1;4;5;;;;;;;;;;;;;;;;;;;
1060;Wahrnehmungspsychologie;TL;Ordne den deutschen Fachbegriffen ihre englischen Übersetzungen zu.;false;Stimuli;Law of Similarity;Virtual Realities;Perception;Body Sensation;Sensoric Adaption;Object Recognition;Optical Illusion;Binding Problem;Attentiveness;;2;4;3;1;5;10;8;9;6;7;;Wahrnehmung;Reize ;Virtuelle Welten;Gesetz der Ähnlichkeit;Körperempfindung;Bindungsproblem;Aufmerksamkeit;Objekterkennung;Optische Täuschung;Sensorische Anpassung;;;;
1061;Systemanalyse;DD;Ordne die Begriffe den Anwendungsgebieten zu. ;false;Finanzbuchhaltung;Lohn- und Gehaltsabrechnung;Textverarbeitung;Grafik;Datenbank;Tabellenkalkulation;Budgetrechnung;;;;;2;2;1;1;1;1;2;;;;;Persönliche Anwendung;Kommerzielle Anwendung;;;;;;;;;;;;
1062;Systemanalyse;TQ;Fülle den Lückentext aus.;false;Die Fähigkeit von Softwaresystemen auch unter außergewöhnlichen Bedingungen zu funktionieren fasst man unter dem Qualitätskriterum der ; ;zusammen. Die; ;umfasst die Einfachheit mit der die Benutzung von SW-Systemen, ihre Bedienung, das Bereitstellen von Eingabedaten, die Auswertung der Ergebnisse und das Wiederaufsetzen nach Bedienfehlern erlernt werden kann. Das Kriterium der; ;befasst sich mit der Eigenschaft, dass Softwarekomponenten teilweise oder ganz in neuen Anwendungen eingesetzt und iin diese ntegriert werden können. Die Leichtigkeit mit der SW-Produkte an Spezifikationsänderungen angepasst werden können, wird dem Kriterium der; ;zugeordnet.;;;2;1;4;3;;;;;;;;Benutzerfreundlichkeit;Robustheit;Erweiterbarkeit;Verifizierbarkeit;;;;;;;;;;
1063;Systemanalyse;OD;Ordne die Phasen der Softwareentwicklung von Anfang zum Ende.;false;Implementierung;Planung;Validierung;Installation;Definition;Entwurf;;;;;;4;1;5;6;2;3;;;;;;;;;;;;;;;;;;;
1064;Systemanalyse;MC;Sind die folgenden Aussagen wahr? Wenn ja, markiere sie.;false;Programmierung bzw. Codierung sind Bestandteil der Implementierung.;Abnahme, Einführung, Schulung, und das Rollout werden der Installation zugeordnet.;Die Erstellung des Lastenhefts und die Prüfung auf Durchführbarkeit werden der Definitionsphase zugeordnet.;Die Anforderungsanalyse, das Pflichtenheft und die Projektplanung sind Bestandteil der Definitionsphase.;Die Entwurfsphase besteht aus den Systemtests und Integrationstests.;;;;;;;1;1;0;1;0;;;;;;;;;;;;;;;;;;;;
1065;Systemanalyse;DD;Ordne die Begriffe den Vorgehensmodellen zu. ;false;Phasenmodell;Wasserfallmodell;Extreme Programmierung;V-Modell;Rational Unified Process;SCRUM;;;;;;1;1;3;2;2;3;;;;;;Klassisches Vorgehensmodell;Modernes Vorgehensmodell;Agiles Vorgehensmodell;;;;;;;;;;;
1066;Systemanalyse;MC;Markiere die wahren Aussagen.;false;Die Gliederung des Pflichtenhefts entspricht der Grundgliederung des Lastenhefts. Es handelt sich um eine Verfeinerung. ;Das Lastenheft ist ein verfeinertes Pflichtenheft.;Das Pflichtenheft enthält eine Zusammenfassung aller fachlichen Anforderungen, die das zu entwickelnde Software-Produkt aus der Sicht des Auftraggebers/Kunden erfüllen muss.;Insbesondere werden in einem Lastenheft alle nicht-formalisierbaren Anforderungen aufgeführt und ̈Entwicklungsprioritäten aus auftraggebersicht festgelegt.;Generell beschreibt das Pflichtenheft eher das »Was« anstatt das »Wie«.;;;;;;;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;
1067;Systemanalyse;DD;Die allgemeinen Eigenschaften eines Pflichtenhefts lassen sich in sechs Kategorien untergliedern. Ordne zu. ;false;"Standardisiertes, gegliedertes Schema; meistens: textuell.";Auftraggeber, Auftragnehmer, Projektleiter, Systemanalytiker,Software-Entwickler etc.;Detaillierte verbale Beschreibung.;Zeitlich direkt nach der  Planungsphase.;Fachlicher Funktions-, Daten- und Leistungsumfang sowie die Qualitätsanforderungen.;;;;;;;1;3;5;2;4;;;;;;;Form;Zeitpunk;Auftraggeber;Inhalt;Sprache;;;;;;;;;
1068;Systemanalyse;MC;Sind die folgenden Aussagen wahr?;false;Ein Use Case beschreibt in der Fachsprache der Anwendung einen typischen Arbeitsablauf.;Ein Use Case besteht immer nur aus einer Aufgabe, welche von mehreren Akteuren durchgeführt wird, um ein Ziel zu erreichen bzw. ein messbares Ergebnis zu erzielen.;Ein Use Case ist der Teil eines Geschäftsprozesses, der die Benutzerinteraktion mit dem Software-System beschreibt.;Ziel des Use Cases ist die Aufnahme des IST – Zustandes (Arbeitsablauf ohne das zukünftige System) und die Aufnahme des SOLL- Zustandes (Arbeitsablauf mit Unterstützung des zukünftigen Systems).;Die Beschreibung erfolgt immer in HTML. Das ist der Standard.;;;;;;;1;0;1;1;0;;;;;;;;;;;;;;;;;;;;
1069;Systemanalyse;DD;Ordne zu. ;false;Verzweigung von Hauptprozess A in Prozess B.;Ist Prozess B beendet, Zurückkehren zu Prozess A.;Modellierung selbständiger Unterprozesse.;Wiederverwendung in anderen Geschäftsprozessen.;Analog Unterprogramm in Programmiersprachen.;Verlagerung komplexer Sonderfälle in einen Erweiterungsprozess.;;;;;;1;1;2;2;2;1;;;;;;Extend Beziehung;Include Beziehung;;;;;;;;;;;;
